,Min,nb_ecole_1kms,nb_ecole_3kms,nb_ecole_5kms,nb_ecole_10kms,nb_ecole_20kms
0,1.0499570870595931,0,17,53,227,653
1,0.1800017658143778,11,56,153,644,1155
2,0.6676301086124337,1,3,10,17,97
3,0.1200378583308383,2,2,5,28,142
4,0.9808187065735304,1,107,329,807,1141
5,0.107073618392847,12,52,159,730,3310
6,0.0094487116004364,28,269,728,2565,5392
7,1.1645893959374405,0,1,4,30,127
8,0.5549415586827239,2,9,13,80,242
9,0.5750141685009214,1,7,11,67,195
10,0.2760000075104489,20,119,160,232,375
11,0.2899454040931981,14,72,151,372,1551
12,0.3170110213344281,1,1,4,22,189
13,0.5944126284126778,3,12,21,74,282
14,0.0894673496018221,67,380,826,2670,5718
15,0.182016933899601,91,470,1035,2829,5668
16,0.8843835931212841,1,2,9,79,323
17,0.7388358841270148,1,6,22,47,89
18,0.1810224903259177,18,161,448,1962,5058
19,0.3832674149994765,1,3,12,52,122
20,0.1021570208963891,14,49,76,105,174
21,0.5105752971397655,11,26,28,45,79
22,0.4287686463475166,5,22,47,114,1395
23,0.5717807142363303,6,26,71,162,560
24,0.9296572623406604,2,2,3,9,57
25,0.7232355865438017,2,9,20,183,556
26,0.6049774829251554,3,30,68,136,477
27,1.0373260756698133,0,6,11,23,189
28,0.260714008697142,2,2,3,9,39
29,0.2875826486179582,21,67,73,102,200
30,0.4695910665728708,3,16,18,26,81
31,0.5239289255200879,1,15,17,33,150
32,0.3250771008353855,13,106,132,182,317
33,0.1918180145704876,31,166,285,491,759
34,0.800036904420558,2,10,18,45,172
35,0.0720612265247456,28,226,533,2016,5132
36,0.203397904808955,16,46,53,64,81
37,0.4943512329714207,1,1,4,48,99
38,0.1545004687670666,7,112,331,1130,4105
39,0.3962501912111549,2,15,77,247,416
40,1.45540378099893,0,5,10,41,210
41,0.2844580920310744,4,28,46,83,310
42,0.055119084541546,29,154,277,498,758
43,0.3902709650129844,7,18,20,42,153
44,0.5559362800545631,4,7,13,66,350
45,0.7494222502648069,8,112,349,974,3931
46,0.634633279161765,9,107,352,996,3968
47,0.3517346574339752,6,32,46,78,239
48,0.2644876430226365,16,156,296,520,714
49,0.2525674738611215,8,88,235,736,3968
50,0.132102298137067,16,90,172,573,1827
51,1.4535432310913527,0,1,1,11,82
52,0.2423001154986033,14,17,20,41,152
53,0.7716323622317028,3,16,55,184,294
54,0.4485241709120218,6,80,294,1341,4747
55,0.4078114508751436,5,44,102,185,345
56,0.1426083008703543,54,506,966,2823,5678
57,0.2097931649959645,12,13,18,74,241
58,0.1398898469630613,41,247,767,2509,5555
59,0.6347782742406785,6,26,35,69,120
60,0.5794036097120511,7,90,193,732,3486
61,0.2320024558723491,14,153,352,717,1059
62,0.6948500134989276,4,7,8,15,29
63,0.5161078803147665,1,55,116,363,1788
64,1.0731204814109578,0,5,7,19,143
65,0.2627546352650907,11,46,58,119,535
66,0.660859974346959,1,3,7,41,172
67,0.2470908176709519,27,128,193,311,422
68,0.4572460162427619,16,140,416,1680,4810
69,0.6571579473999408,1,6,51,255,470
70,0.5006366229095828,1,1,1,5,52
71,0.1822706584597999,28,208,525,1851,5031
72,0.2627472598987729,8,49,223,715,1127
73,0.7494841655735727,2,37,129,241,362
74,0.4324886850009272,2,3,4,19,115
75,0.4575067438629265,2,2,2,9,41
76,0.2448231802776078,25,138,241,357,531
77,0.1087113572305746,23,282,668,2291,5514
78,1.2413380117652464,0,7,11,33,172
79,0.3637529592152318,28,192,515,1779,4993
80,0.2363130375380853,55,401,890,2679,5766
81,0.5149462454591968,2,6,10,42,191
82,0.9240173891599552,1,2,4,24,83
