codePostalEtablissement,libelleCommuneEtablissement
1000,778
10000,1178
10100,266
10110,236
10120,164
10130,163
10140,177
10150,179
10160,114
10170,96
10180,31
10190,144
10200,321
10210,151
10220,104
10230,24
10240,74
10250,61
10260,101
10270,68
10280,34
10290,54
10300,141
10310,44
10320,95
10330,65
10340,68
10350,67
10360,58
10370,27
10380,34
10390,15
10400,271
10410,62
10420,22
10430,17
10440,39
10450,23
10500,249
10510,39
10600,189
10700,191
10800,173
1090,78
1100,445
11000,830
1110,200
11100,826
11110,97
11120,132
11130,69
11140,137
11150,84
11160,118
11170,98
11190,113
1120,175
11200,319
11210,114
11220,121
11230,93
11240,104
11250,91
11260,70
11270,68
11290,65
1130,154
11300,304
11310,46
11320,49
11330,87
11340,68
11350,55
11360,59
11370,109
11380,34
11390,38
1140,116
11400,333
11410,65
11420,58
11430,90
11440,11
11480,12
11490,10
1150,211
11500,160
11510,32
11540,10
11560,68
11570,31
11580,32
11590,95
1160,137
11600,111
11610,27
11620,23
1170,151
11700,137
11800,141
1190,161
1200,303
12000,660
1210,136
12100,438
12110,96
12120,95
12130,89
12140,63
12150,98
12160,93
12170,84
12190,36
1220,116
12200,288
12210,110
12220,68
12230,68
12240,97
12250,37
12260,85
12270,46
12290,70
1230,97
12300,264
12310,78
12320,62
12330,97
12340,60
12350,36
12360,64
12370,42
12380,40
12390,81
1240,79
12400,185
12410,25
12420,23
12430,52
12440,28
12450,80
12460,45
12470,36
12480,16
12490,46
1250,192
12500,167
12510,55
12520,39
12540,39
12550,28
12560,35
12580,19
1260,128
12600,72
12620,24
12630,14
12640,19
1270,72
12700,85
12720,17
12740,44
12780,24
1280,23
12800,100
12850,142
1290,132
1300,339
13001,5184
13002,2120
13003,1769
13004,1652
13005,1592
13006,3681
13007,1539
13008,2670
13009,1490
13010,1319
13011,1071
13012,1210
13013,1341
13014,1390
13015,1769
13016,620
13080,120
13090,603
1310,83
13100,1293
13103,29
13104,23
13105,32
13109,29
13110,189
13111,14
13112,33
13113,29
13114,20
13115,31
13116,17
13117,32
13118,18
13119,26
13120,246
13121,7
13122,28
13123,6
13124,51
13126,13
13127,523
13129,17
13130,167
13140,175
13150,233
13160,184
13170,259
13180,95
13190,332
1320,63
13200,753
13210,229
13220,117
13230,88
13240,131
13250,88
13260,294
13270,165
13280,30
13290,321
1330,108
13300,589
13310,86
13320,136
13330,94
13340,129
13350,27
13360,147
13370,63
13380,194
13390,129
1340,170
13400,1306
13410,83
13420,172
13430,59
13440,47
13450,44
13460,93
13470,111
13480,152
13490,33
1350,89
13500,487
13510,86
13520,83
13530,104
13540,46
13550,57
13560,82
13570,60
13580,55
13590,58
1360,72
13600,914
13610,67
13620,73
13630,38
13640,53
13650,34
13660,50
13670,62
13680,48
13690,38
1370,103
13700,368
13710,71
13720,58
13730,67
13740,46
13750,46
13760,49
13770,90
13780,66
13790,88
1380,83
13800,324
13810,24
13820,28
13821,147
13830,82
13840,36
13850,53
13860,40
13870,46
13880,80
13890,39
1390,88
13910,27
13920,50
13930,15
13940,29
13950,32
13960,76
13980,21
13990,68
1400,156
14000,1493
1410,45
14100,509
14110,106
14111,15
14112,20
14113,21
14114,16
14117,15
14120,146
14121,6
14123,116
14130,257
14140,281
14150,84
14160,99
14170,130
14190,83
1420,41
14200,212
14210,168
14220,189
14230,123
14240,117
14250,108
14260,186
14270,88
14280,47
14290,146
1430,71
14310,108
14320,77
14330,98
14340,123
14350,171
14360,120
14370,117
14380,140
14390,93
1440,98
14400,396
14410,69
14420,56
14430,107
14440,54
14450,35
14460,43
14470,95
14480,104
14490,77
