,latitude,longitude,Geo Point
0,42.4417732,3.1634033,"42.4417732,3.1634033"
1,42.4580782,1.9167264,"42.4580782,1.9167264"
2,42.457481,1.9404821,"42.457481,1.9404821"
3,42.4912317,2.0383917,"42.4912317,2.0383917"
4,42.5288009,2.249094,"42.5288009,2.249094"
5,42.6428224,2.4858388,"42.6428224,2.4858388"
6,42.6772874,2.7378217,"42.6772874,2.7378217"
7,42.6787626,2.7930798,"42.6787626,2.7930798"
8,42.8356091,2.9174466,"42.8356091,2.9174466"
9,44.5617971,3.7518919,"44.5617971,3.7518919"
10,44.522322,3.5019875,"44.522322,3.5019875"
11,44.4992638,3.4109786,"44.4992638,3.4109786"
12,42.9327725,3.0128555,"42.9327725,3.0128555"
13,43.6834141,4.2354236,"43.6834141,4.2354236"
14,44.2098159,4.0329591,"44.2098159,4.0329591"
15,43.604738,3.880674,"43.604738,3.880674"
16,44.0054278,4.9226971,"44.0054278,4.9226971"
17,43.9531783,4.9352794,"43.9531783,4.9352794"
18,44.0899478,4.8881802,"44.0899478,4.8881802"
19,44.5458415,6.2718887,"44.5458415,6.2718887"
20,44.7301546,5.0160968,"44.7301546,5.0160968"
21,45.048857,5.0498,"45.048857,5.0498"
22,45.072183,4.839967,"45.072183,4.839967"
23,45.186395,4.81439,"45.186395,4.81439"
24,43.3518976,5.3770681,"43.3518976,5.3770681"
25,43.5515285,6.9816599,"43.5515285,6.9816599"
26,43.5581088,6.9720902,"43.5581088,6.9720902"
27,43.5134929,6.9367978,"43.5134929,6.9367978"
28,44.089922,7.5941608,"44.089922,7.5941608"
29,43.8397674,7.3517085,"43.8397674,7.3517085"
30,43.785202,7.517297,"43.785202,7.517297"
31,43.76203,7.48139,"43.76203,7.48139"
32,43.7205382,7.3943362,"43.7205382,7.3943362"
33,43.108867,6.124223,"43.108867,6.124223"
34,43.639061,5.088569,"43.639061,5.088569"
35,43.6999662,5.0913333,"43.6999662,5.0913333"
36,43.7409571,5.0733645,"43.7409571,5.0733645"
37,43.33447,5.1975675,"43.33447,5.1975675"
38,43.4071317,4.9846006,"43.4071317,4.9846006"
39,43.4031137,5.3701756,"43.4031137,5.3701756"
40,43.6440076,5.5395738,"43.6440076,5.5395738"
41,43.8231945,5.7933241,"43.8231945,5.7933241"
42,45.324154,5.56517,"45.324154,5.56517"
43,44.6709898,5.6973678,"44.6709898,5.6973678"
44,44.911996,5.6339702,"44.911996,5.6339702"
45,45.0476532,5.6854542,"45.0476532,5.6854542"
46,45.26245,5.901472,"45.26245,5.901472"
47,45.290417,5.632119,"45.290417,5.632119"
48,45.996415,6.9345425,"45.996415,6.9345425"
49,45.9657075,6.910179,"45.9657075,6.910179"
50,45.8935639,6.796924,"45.8935639,6.796924"
51,45.9088517,6.7726673,"45.9088517,6.7726673"
52,46.077772,6.416524,"46.077772,6.416524"
53,46.0111205,6.17568,"46.0111205,6.17568"
54,45.9395239,6.1232736,"45.9395239,6.1232736"
55,46.397915,6.577457,"46.397915,6.577457"
56,46.369004,6.481669,"46.369004,6.481669"
57,46.199222,6.23652,"46.199222,6.23652"
58,46.1092875,5.96735,"46.1092875,5.96735"
59,46.109425,5.823483,"46.109425,5.823483"
60,46.1834877,5.3258417,"46.1834877,5.3258417"
61,46.053961,5.3343285,"46.053961,5.3343285"
62,45.193365,6.658161,"45.193365,6.658161"
63,45.524636,5.680772,"45.524636,5.680772"
64,45.457027,6.292521,"45.457027,6.292521"
