Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
00004-1;00004;0087785006;;Cerbère;66290;048;Cerbère;66;Pyrénées-Orientales;3.1634033;42.4417732;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""CER""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cerbère"", ""Alias_Libelle_Fronton"": ""Cerbère"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""CERBERE GARE""}";Cerbère;Cerbère;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;CERBERE GARE;1;CER;42.4417732,3.1634033
00005-1;00005;0087784892;;Bena Fanes;66760;066;Enveitg;66;Pyrénées-Orientales;1.9167264;42.4580782;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""BFA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bena Fanes"", ""Alias_Libelle_Fronton"": ""Bena Fanes"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""ENVEITG HALTE DE BENA FANES""}";Bena Fanes;Bena Fanes;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;ENVEITG HALTE DE BENA FANES;1;BFA;42.4580782,1.9167264
00006-1;00006;0087784884;;Ur - Les Escaldes;66760;218;Ur;66;Pyrénées-Orientales;1.9404821;42.457481;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""URL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ur - Les Escaldes"", ""Alias_Libelle_Fronton"": ""Ur les Escaldes"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""UR LES ESCALDES GARE""}";Ur - Les Escaldes;Ur les Escaldes;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;UR LES ESCALDES GARE;1;URL;42.457481,1.9404821
00013-1;00013;0087784819;;Font-Romeu-Odeillo-Via;66120;124;Font-Romeu-Odeillo-Via;66;Pyrénées-Orientales;2.0383917;42.4912317;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FRM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Font-Romeu-Odeillo-Via"", ""Alias_Libelle_Fronton"": ""Font-Romeu-Odeillo-Via"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""FONT ROMEU ODEILLO VIA GARE""}";Font-Romeu-Odeillo-Via;Font-Romeu-Odeillo-Via;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;FONT ROMEU ODEILLO VIA GARE;1;FRM;42.4912317,2.0383917
00020-1;00020;0087784744;;Thuès les Bains;66360;036;Canaveilles;66;Pyrénées-Orientales;2.249094;42.5288009;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""THB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Thuès les Bains"", ""Alias_Libelle_Fronton"": ""Thuès les Bains"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""THUES LES BAINS GARE""}";Thuès les Bains;Thuès les Bains;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;THUES LES BAINS GARE;1;THB;42.5288009,2.249094
00028-1;00028;0087784629;;Marquixanes;66320;103;Marquixanes;66;Pyrénées-Orientales;2.4858388;42.6428224;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""MQG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Marquixanes"", ""Alias_Libelle_Fronton"": ""Marquixanes"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""MARQUIXANES GARE""}";Marquixanes;Marquixanes;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;MARQUIXANES GARE;1;MQG;42.6428224,2.4858388
00032-1;00032;0087784520;;Saint-Féliu-d'Avall;66170;174;Saint-Féliu-d'Avall;66;Pyrénées-Orientales;2.7378217;42.6772874;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FDL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Féliu-d'Avall"", ""Alias_Libelle_Fronton"": ""Saint-Féliu-d'Avall"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""SAINT FELIU D AVALL GARE""}";Saint-Féliu-d'Avall;Saint-Féliu-d'Avall;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;SAINT FELIU D AVALL GARE;1;FDL;42.6772874,2.7378217
00033-1;00033;0087784512;;Le Soler;66270;195;Soler;66;Pyrénées-Orientales;2.7930798;42.6787626;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""LSL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Soler"", ""Alias_Libelle_Fronton"": ""Le Soler"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""LE SOLER GARE""}";Le Soler;Le Soler;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;LE SOLER GARE;1;LSL;42.6787626,2.7930798
00040-1;00040;0087784157;;Salses-le-Château;66600;190;Salses-le-Château;66;Pyrénées-Orientales;2.9174466;42.8356091;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""SAL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Salses-le-Château"", ""Alias_Libelle_Fronton"": ""Salses"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""SALSES GARE""}";Salses-le-Château;Salses;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;SALSES GARE;1;SAL;42.8356091,2.9174466
00043-1;00043;0087783670;;Belvezet;48170;027;Mont Lozère et Goulet;48;Lozère;3.7518919;44.5617971;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""BVZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Belvezet"", ""Alias_Libelle_Fronton"": ""Belvezet"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""BELVEZET GARE""}";Belvezet;Belvezet;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;BELVEZET GARE;1;BVZ;44.5617971,3.7518919
00046-1;00046;0087783605;;Mende;48000;095;Mende;48;Lozère;3.5019875;44.522322;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""MDE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Mende"", ""Alias_Libelle_Fronton"": ""Mende"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""MENDE GARE""}";Mende;Mende;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;MENDE GARE;1;MDE;44.522322,3.5019875
00047-1;00047;0087783563;;Barjac;48000;018;Barjac;48;Lozère;3.4109786;44.4992638;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""BJC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Barjac"", ""Alias_Libelle_Fronton"": ""Barjac"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""BARJAC GARE""}";Barjac;Barjac;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;BARJAC GARE;1;BJC;44.4992638,3.4109786
00078-1;00078;0087781088;;Leucate La Franqui;11370;202;Leucate;11;Aude;3.0128555;42.9327725;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""LEU""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Leucate La Franqui"", ""Alias_Libelle_Fronton"": ""Leucate la Franqui"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""LEUCATE LA FRANQUI GARE""}";Leucate La Franqui;Leucate la Franqui;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;LEUCATE LA FRANQUI GARE;1;LEU;42.9327725,3.0128555
00085-1;00085;0087775825;;Le Cailar;30740;059;Cailar;30;Gard;4.2354236;43.6834141;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""LCI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Cailar"", ""Alias_Libelle_Fronton"": ""Le Cailar"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""LE CAILAR GARE""}";Le Cailar;Le Cailar;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;LE CAILAR GARE;1;LCI;43.6834141,4.2354236
00101-1;00101;0087775254;;La Grand-Combe;30110;132;Grand-Combe;30;Gard;4.0329591;44.2098159;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""LGC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Grand-Combe"", ""Alias_Libelle_Fronton"": ""Grand-Combe la Pise"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""GRAND COMBE LA PISE GARE""}";La Grand-Combe;Grand-Combe la Pise;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;GRAND COMBE LA PISE GARE;1;LGC;44.2098159,4.0329591
00130-1;00130;0087773002;;Montpellier Saint-Roch;34011;172;Montpellier;34;Hérault;3.880674;43.604738;a;3;GARE MONTPELLIER;"[{""TVS_Code"": ""MPL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montpellier Saint-Roch"", ""Alias_Libelle_Fronton"": ""Montpellier Saint-Roch"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""MONTPELLIER GARE""}";Montpellier Saint-Roch;Montpellier Saint-Roch;True;False;DTG Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;MONTPELLIER GARE;1;MPL;43.604738,3.880674
00131-1;00131;0087765826;;Entraigues-sur-la-Sorgue;84700;043;Entraigues-sur-la-Sorgue;84;Vaucluse;4.9226971;44.0054278;b;;GARES C PROV ALPES;"[{""TVS_Code"": ""ENR""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Entraigues-sur-la-Sorgue"", ""Alias_Libelle_Fronton"": ""Entraigues-sur-la-Sorgue"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""ENTRAIGUES SUR LA SORGUE GARE""}";Entraigues-sur-la-Sorgue;Entraigues-sur-la-Sorgue;True;False;DTG Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;ENTRAIGUES SUR LA SORGUE GARE;1;ENR;44.0054278,4.9226971
00138-1;00138;0087765438;;Saint-Saturnin-lès-Avignon;84450;119;Saint-Saturnin-lès-Avignon;84;Vaucluse;4.9352794;43.9531783;c;1;GARES C PROV ALPES;"[{""TVS_Code"": ""SSA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Saturnin-lès-Avignon"", ""Alias_Libelle_Fronton"": ""Saint-Saturnin-lès-Avignon"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""SAINT SATURNIN D AVIGNON P GARE""}";Saint-Saturnin-lès-Avignon;Saint-Saturnin-lès-Avignon;True;False;DTG Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;SAINT SATURNIN D AVIGNON P GARE;1;SSA;43.9531783,4.9352794
00144-1;00144;0087765180;;Courthézon;84350;039;Courthézon;84;Vaucluse;4.8881802;44.0899478;c;1;GARES C PROV ALPES;"[{""TVS_Code"": ""CTZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Courthézon"", ""Alias_Libelle_Fronton"": ""Courthézon"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""COURTHEZON GARE""}";Courthézon;Courthézon;True;False;DTG Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;COURTHEZON GARE;1;CTZ;44.0899478,4.8881802
00159-1;00159;0087763425;;Chorges;05230;040;Chorges;05;Hautes-Alpes;6.2718887;44.5458415;c;1;GARES C PROV ALPES;"[{""TVS_Code"": ""CHO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Chorges"", ""Alias_Libelle_Fronton"": ""Chorges"", ""AgenceGC_Libelle"": ""DTG Grand Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""CHORGES GARE""}";Chorges;Chorges;True;False;DTG Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;CHORGES GARE;1;CHO;44.5458415,6.2718887
